,nombre_promocion,tipo_oferta,posicion,url_img,datetime_checked,retail,descripcion_promo,duracion_promo,descuentos_promo,categorias_en_promo,marcas_en_promo,publico_objetivo,productos_en_oferta,cuotas_sin_interes,cupon_app,promociones_envio
10,inspirate para regalar esta navidad,banner_largo,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltef609ee91d9c0281/6737b25f323eb68e30cea99a/cat-pages-titulos-navidad-dk-151124-ctt.png?auto=webp&quality=70&width=90p,2024-12-06 10:59:20.190599,falabella,la imagen muestra una promoción de inspiración para regalos de navidad.,,,"['regalos', 'navidad', 'ideas']",,"['festivo', 'generoso', 'familiar', 'comprador', 'navideño']",,,,
11,chayanne,banner_largo,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt53a24144df680dc7/6750b4394dc5f081619bc745/Huincha-chayane-dk-041224-rm.jpg?auto=webp&quality=70&width=90p,2024-12-06 10:59:20.190599,falabella,"la imagen muestra una promoción navideña con el mensaje 'feliz navidad para todos' y un botón que dice 'ver todo'. no se especifican detalles sobre productos, precios o descuentos.",,,"['navidad', 'regalos', 'ofertas']",,"['familiar', 'festivo', 'generico', 'nacional', 'comprador']",,,,
12,cupones,banner_largo,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltd7f2ab3ef90238c2/674f09f7e1f088752e95f01a/Cupones-titulos-navidad-dk-031224-rm.jpg?auto=webp&quality=70&width=90p,2024-12-06 10:59:20.190599,falabella,"la imagen muestra una promoción de cupones de descuento. no se especifica ninguna otra información sobre las categorías, marcas, duración, cuotas sin interés, envíos o público objetivo específico.",,,"['cupones', 'descuentos', 'promociones']",,"['general', 'ahorrador', 'consumidor', 'diligente', 'oportunista']",,,,
13,cupon carters,banner_largo,4,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt3f5b6c506d832358/67506409acefd59316a704a1/CuponCarters-Banner12col-dk-041224-Chris.jpg?auto=webp&quality=70&width=90p,2024-12-06 10:59:20.190599,falabella,"descuento del 10% en productos seleccionados de las marcas carter's, oshkosh y b'gosh. código de cupón: carters10",,10%,"['ropa', 'niños', 'bebes']","[""carter's"", 'oshkosh', ""b'gosh""]","['padres', 'familias', 'niños', 'bebes', 'economicos']",,,,
14,clinique cupon descuento,banner_largo,5,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt4a2b0e2f77a30ea3/6751c8c0d544efecb044cbe8/CuponClinique-Banner12col-dk-051224-ne.jpg?auto=webp&quality=70&width=90p,2024-12-06 10:59:20.190599,falabella,descuento del 20% adicional en productos clinique.  excluye el lanzamiento retinoid balm. por compras sobre $29.990 se lleva un regalo (debe agregarse al carro). código cupón: clinique20,,20%,"['belleza', 'cosmeticos', 'cuidados faciales']",['clinique'],"['femenino', 'adulto', 'urbano', 'moderno', 'consciente']",,,,
15,regalos para sorprender esta navidad,banner_largo,6,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt535b2bfe982ab2fb/67378eed45e10ee8b89c200f/hardsell-titulos-navidad-dk-151124-ctt.png?auto=webp&quality=70&width=90p,2024-12-06 10:59:20.190599,falabella,"la imagen muestra una promoción de regalos para sorprender. no se especifica el tipo de regalos, marcas, duración de la promoción, ni otros detalles.",,,"['regalos', 'sorpresas', 'obsequios']",,"['festivo', 'generoso', 'detallista', 'considerado', 'amoroso']",,,,
16,mesa navidena,banner_largo,7,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt247c80cd1a7711a0/674f57fbe60191c9aec4095e/mesa-banner12col-dk-031224-gmc.jpg?auto=webp&quality=70&width=90p,2024-12-06 10:59:20.190599,falabella,"la promoción invita a darle vida a la mesa para celebrar las fiestas navideñas, mostrando una mesa ambientada para una cena navideña.",,,"['decoración', 'mesa', 'navidad']",,"['festivo', 'familiar', 'adulto', 'hogareño', 'decorador']",,,,
17,descuentos imperdibles para tus regalos,banner_largo,8,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt2c037ec3e7fdb886/67378c5d858194734d0dfebe/mc-titulos-navidad-dk-151124-ctt.png?auto=webp&quality=70&width=90p,2024-12-06 10:59:20.190599,falabella,"la imagen muestra una promoción de regalos imperdibles. no se especifica el tipo de regalos, ni las marcas, ni la duración de la promoción, ni si hay cuotas sin interés, cupones de app, promociones de envío, ni precios de productos específicos.",,,"['regalos', 'imperdibles', 'navidad']",,"['festivo', 'generoso', 'familiar', 'comprador', 'regalón']",,,,
18,redbull,banner_largo,10,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt9821a553054b3338/6744c0c4ac2efb52d59e2e3d/Redbull-banner12col-dk-181124-ne.jpg?auto=webp&quality=70&width=90p,2024-12-06 10:59:20.190599,falabella,promoción de la nueva colección exclusiva de ropa de la marca oracle red bull racing 2024. disponible primero en falabella.,,,"['ropa', 'coleccion', 'racing']","['oracle', 'red bull racing']","['deportivo', 'masculino', 'femenino', 'moderno', 'fanatico']",,,,
19,samsung,banner_largo,11,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blte03f0e4f9552e314/6751f4452ff5eb1a17b078ac/electro-banner12col-dk-051224-XX.jpg?auto=webp&quality=70&width=90p,2024-12-06 10:59:20.190599,falabella,"promoción del 35% de descuento en productos samsung seleccionados. se muestran imágenes de una tablet, un computador portátil y un celular.",,35%,"['tablets', 'laptops', 'celulares']",['samsung'],"['tecnológico', 'estudiante', 'profesional', 'moderno', 'digital']",,,,
20,planes,banner_largo,12,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltfd08b8b55272ba20/674f6c4cb50b6ceec9b75db2/Huincha-planes-dk-031224-ct.jpg?auto=webp&quality=70&width=90p,2024-12-06 10:59:20.190599,falabella,"promoción de iphone 13 y 16 con planes de entel y claro.  contratando un plan entel, el iphone 13 128gb cuesta $249.990, mientras que su precio normal es $869.990. contratando un plan claro, el iphone 16 128gb cuesta $499.990, con un precio normal de $949.990.  la contratación del plan se puede realizar 100% online.",,100%,"['telefonia', 'planes', 'apple']","['apple', 'entel', 'claro']","['tecnológico', 'conectado', 'urbano', 'joven', 'moderno']","[{'nombre_del_producto': 'apple iphone 13 128gb', 'precio_normal': 869990, 'precio_oferta': 249990, 'descuento': '71%'}, {'nombre_del_producto': 'apple iphone 16 128gb', 'precio_normal': 949990, 'precio_oferta': 499990, 'descuento': '47%'}]",,,
21,poleras hombre,grid,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltc567f46c4d8d6293/673663ab34cf2e2bcd98d785/Pantalones-MC-01dk-151124-CS.jpg?auto=webp&disable=upscale&quality=70&width=1280,2024-12-06 10:59:20.190599,falabella,"promoción de pantalones para mujer a $24.990.  la promoción incluye productos seleccionados de las marcas americanino, mango y basement.",,,"['pantalones', 'mujer', 'ropa']","['americanino', 'mango', 'basement']","['femenino', 'adulto', 'urbano', 'moderno', 'casual']","[{'nombre_del_producto': 'pantalones mujer', 'precio_normal': None, 'precio_oferta': 24990, 'descuento': None}]",,,
22,ballerinas,grid,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltb31a8c326f719645/674497d14d7c435958f61a82/Sandalias-MC-02dk-251124-CS.jpg?auto=webp&disable=upscale&quality=70&width=1280,2024-12-06 10:59:20.190599,falabella,promoción de ballerinas basement a $34.990. productos seleccionados.,,,"['zapatos', 'ballerinas', 'calzado']",['basement'],"['femenino', 'urbano', 'moderno', 'casual', 'joven']",,,,
23,maquillaje,grid,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt465766d42fa94462/67366445d9087885b7a02a2c/Maquillaje-MC-03dk-151124-CS.jpg?auto=webp&disable=upscale&quality=70&width=1280,2024-12-06 10:59:20.190599,falabella,"sets de maquillaje con 40% de descuento en productos seleccionados de las marcas benefit, mac y estee lauder.",,40%,"['maquillaje', 'labiales', 'polvos']","['benefit', 'mac', 'estee lauder']","['femenino', 'adulto', 'urbano', 'moderno', 'cosmopolita']",,,,
24,carteras ,grid,4,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt464942183c56e718/673615967331ae7315c4d58f/Carteras-MC-04dk-121124-ne.jpg?auto=webp&disable=upscale&quality=70&width=1280,2024-12-06 10:59:20.190599,falabella,"promoción de carteras y mochilas de las marcas amphora, zappa y basement a $29.990.  productos seleccionados.",,,"['carteras', 'mochilas', 'bolsos']","['amphore', 'zappa', 'basement']","['femenino', 'urbano', 'moderno', 'independiente', 'trabajador']",[],,,
25,reloj hombre,grid,5,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltc0da64765be45577/674f41e29325fc80bef77d4d/RelojHombre-Mc05-dk-031224-CS.jpg?auto=webp&disable=upscale&quality=70&width=1280,2024-12-06 10:59:20.190599,falabella,"promoción de un set de reloj Mossimo que incluye un reloj, lentes de sol y una billetera. precio normal $34.990, precio de oportunidad única $19.990.",,,"['relojes', 'lentes', 'accesorios']",['Mossimo'],"['masculino', 'adulto', 'urbano', 'moderno', 'estilado']",,,,
26,pijamas mas scrunchie $14.990,grid,6,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blted7c000a6210d105/6737975cd67c0a5e61e05cf1/Pijamas-Mc06-dk-1524-ne.jpg?auto=webp&disable=upscale&quality=70&width=1280,2024-12-06 10:59:20.190599,falabella,promoción de un set de pijama + colet de disney con diseño de stitch. precio: $14.990. productos seleccionados.,,,"['pijamas', 'ropa', 'disney']",['disney'],"['femenino', 'joven', 'infantil', 'casual', 'disney']",,,,
27,bermudas hombre,grid,7,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltf80d996e7a0768b3/6750a93b4b282e7ae1810cce/bermudas-MC-07dk-031224-IR.jpg?auto=webp&disable=upscale&quality=70&width=1280,2024-12-06 10:59:20.190599,falabella,"promoción de bermudas y shorts para hombre de las marcas bearcliff, americanino y moschino a $16.990.  productos seleccionados.",,,"['bermudas', 'shorts', 'hombre']","['bearcliff', 'americanino', 'moschino']","['masculino', 'joven', 'urbano', 'casual', 'moderno']","[{'nombre_del_producto': 'bermudas y shorts hombre', 'precio_normal': None, 'precio_oferta': 16990, 'descuento': None}]",,,
28,poleras deportivas,grid,8,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltf9395bb31b9b19d3/6734d14a4b9fed266a2c3416/Poleras-deportivas-MC-08dk-151124-jr.jpg?auto=webp&disable=upscale&quality=70&width=1280,2024-12-06 10:59:20.190599,falabella,promoción de poleras nike a $19.990. productos seleccionados.,,,"['poleras', 'nike', 'ropa']",['nike'],"['deportivo', 'masculino', 'joven', 'activo', 'moderno']",,,,
29,bicicletas 40% dcto.,grid,9,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltc5fc8e5f91521404/673e053d554dc36ca3c6a303/bicicletas-infantiles-MC-09dk-151124-gmc.jpg?auto=webp&disable=upscale&quality=70&width=1280,2024-12-06 10:59:20.190599,falabella,"promoción de bicicletas infantiles de las marcas disney, jeep y scoop.  se ofrece un 40% de descuento en bicicletas infantiles seleccionadas y la posibilidad de pagar en 10 cuotas sin interés con CMR para productos seleccionados.",,40%,"['bicicletas', 'infantiles', 'disney']","['disney', 'jeep', 'scoop']","['infantil', 'familiar', 'femenino', 'juvenil', 'divertido']",[],10.0,,
30,barbie casa munecas,grid,10,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt9e09593d572144a0/6751f6518dd14397211ea570/Barbie-MC-10dk-051224-NM.jpg?auto=webp&disable=upscale&quality=70&width=1280,2024-12-06 10:59:20.190599,falabella,promoción de la nueva casa de barbie con ascensor y piscina. precio normal: $239.990. precio oportunidad única: $119.990. precio todo medio de pago: $143.990.,,,"['juguetes', 'casas', 'barbie']",['barbie'],"['infantil', 'femenino', 'juguetón', 'coleccionista', 'familiar']",,,,
31,vestuario infantil,grid,11,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt6ce31c30b06e514f/6734a39017017189ccf01cf2/vest-infantil-MC-11dk-151124-jr.png?auto=webp&disable=upscale&quality=70&width=1280,2024-12-06 10:59:20.190599,falabella,"la imagen muestra una promoción de vestuario infantil de las marcas mango kids, carter's y collocky.  no se especifican detalles sobre descuentos, fechas de promoción, cuotas sin interés, cupones de app o promociones de envío.",,,"['ropa', 'infantil', 'vestuario']","['mango kids', ""carter's"", 'collocky']","['infantil', 'niños', 'padres', 'familiar', 'juvenil']",,,,
32,maquina de pop corn,grid,12,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltff71addeb8ee58a3/6750acf18e3d03bc351c771a/maquina-pop-corn-MC-12dk-031224-ctt.jpg?auto=webp&disable=upscale&quality=70&width=1280,2024-12-06 10:59:20.190599,falabella,promoción de la máquina para hacer palomitas de maíz ariete party time. precio de oferta: $39.990. precio normal: $59.990.,,,"['electrodomesticos', 'cocina', 'popcorn']",['ariete'],"['familiar', 'hogareño', 'aficionado', 'cinéfilo', 'cocinero']","[{'nombre_del_producto': 'ariete máquina pop corn', 'precio_normal': 59990, 'precio_oferta': 39990, 'descuento': '33%'}]",,,
